Format Version,1.23,Take Name,Fifty_030_2,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.00.40.836 ,Total Frames in Take,1592,Total Exported Frames,1592,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"FB4D0","FB4D0","FB4D0","FB530","FB530","FB530","FB120","FB120","FB120","FB3A0","FB3A0","FB3A0","FB020","FB020","FB020","FB080","FB080","FB080","FB690","FB690","FB690","FACB0","FACB0","FACB0","FB580","FB580","FB580"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
27,0.270000,-0.080633,0.838970,-0.298782,-0.230174,0.804164,-0.338755,-0.078337,0.799864,-0.260164,-0.281032,0.821988,-0.107063,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.164152,0.866059,-0.221673,-0.097265,0.836612,-0.041511,-0.087181,0.834102,-0.164899
28,0.280000,-0.080448,0.838953,-0.298792,-0.230174,0.804164,-0.338755,-0.078334,0.799867,-0.260127,-0.281102,0.821959,-0.107061,-0.455446,0.704595,-0.115119,-0.364742,0.773756,-0.148539,0.164152,0.866059,-0.221673,-0.097265,0.836612,-0.041511,-0.087181,0.834102,-0.164899
29,0.290000,-0.080568,0.838937,-0.298773,-0.230174,0.804164,-0.338755,-0.078447,0.799848,-0.260189,-0.280908,0.821984,-0.107055,-0.455266,0.704452,-0.115080,-0.364658,0.773721,-0.148536,0.164078,0.866082,-0.221729,-0.097502,0.836614,-0.041505,-0.087214,0.834134,-0.164835
30,0.300000,-0.080640,0.838938,-0.298816,-0.230174,0.804164,-0.338755,-0.078337,0.799864,-0.260164,-0.281118,0.821972,-0.107074,-0.455266,0.704452,-0.115080,-0.364708,0.773740,-0.148547,0.164350,0.865995,-0.221656,-0.097376,0.836632,-0.041508,-0.087214,0.834134,-0.164835
31,0.310000,-0.080716,0.838938,-0.298808,-0.230174,0.804164,-0.338755,-0.078450,0.799907,-0.260177,-0.281085,0.821951,-0.107087,-0.455252,0.704450,-0.115132,-0.364637,0.773741,-0.148568,0.164350,0.865995,-0.221656,-0.097200,0.836639,-0.041479,-0.087251,0.834146,-0.164788
32,0.320000,-0.080636,0.838931,-0.298796,-0.230130,0.804141,-0.338754,-0.078310,0.799849,-0.260196,-0.281064,0.821946,-0.107044,-0.455252,0.704450,-0.115132,-0.364708,0.773740,-0.148547,0.164350,0.865995,-0.221656,-0.097210,0.836653,-0.041464,-0.087329,0.834156,-0.164755
33,0.330000,-0.080577,0.838972,-0.298806,-0.230174,0.804164,-0.338755,-0.078450,0.799907,-0.260177,-0.281057,0.821987,-0.107105,-0.455266,0.704452,-0.115080,-0.364742,0.773756,-0.148539,0.164152,0.866059,-0.221673,-0.097175,0.836669,-0.041440,-0.087319,0.834154,-0.164780
34,0.340000,-0.080697,0.838956,-0.298787,-0.230170,0.804159,-0.338725,-0.078334,0.799867,-0.260127,-0.281118,0.821972,-0.107074,-0.455446,0.704595,-0.115119,-0.364658,0.773721,-0.148536,0.164152,0.866059,-0.221673,-0.097205,0.836675,-0.041423,-0.087462,0.834207,-0.164757
35,0.350000,-0.080628,0.838962,-0.298763,-0.230174,0.804164,-0.338755,-0.078396,0.799891,-0.260128,-0.281005,0.821987,-0.107064,-0.455446,0.704595,-0.115119,-0.364693,0.773737,-0.148529,0.163954,0.866123,-0.221663,-0.097160,0.836693,-0.041395,-0.087462,0.834207,-0.164757
36,0.360000,-0.080697,0.838956,-0.298787,-0.230174,0.804164,-0.338755,-0.078477,0.799922,-0.260145,-0.280974,0.821958,-0.107084,-0.455252,0.704450,-0.115132,-0.364708,0.773740,-0.148547,0.163954,0.866123,-0.221663,-0.097189,0.836699,-0.041378,-0.087462,0.834207,-0.164757
