Format Version,1.23,Take Name,H_short_1,Take Notes,,Capture Frame Rate,100.000000,Export Frame Rate,100.000000,Capture Start Time,2021-03-23 03.48.38.698 ,Total Frames in Take,1591,Total Exported Frames,1591,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Isomed:Marker1,Isomed:Marker1,Isomed:Marker1,Isomed:Marker2,Isomed:Marker2,Isomed:Marker2,Isomed:Marker3,Isomed:Marker3,Isomed:Marker3,Shank:Marker1,Shank:Marker1,Shank:Marker1,Shank:Marker2,Shank:Marker2,Shank:Marker2,Shank:Marker3,Shank:Marker3,Shank:Marker3,Thigh:Marker1,Thigh:Marker1,Thigh:Marker1,Thigh:Marker2,Thigh:Marker2,Thigh:Marker2,Thigh:Marker3,Thigh:Marker3,Thigh:Marker3
,ID,"10C300","10C300","10C300","10C310","10C310","10C310","10C330","10C330","10C330","10C2C0","10C2C0","10C2C0","10C2E0","10C2E0","10C2E0","10C340","10C340","10C340","10C320","10C320","10C320","10C2B0","10C2B0","10C2B0","10C350","10C350","10C350"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
25,0.250000,-0.061129,0.827337,-0.325681,-0.193779,0.750299,-0.365080,-0.043671,0.790685,-0.286646,-0.252731,0.756292,-0.133402,-0.374149,0.586995,-0.139616,-0.314096,0.682699,-0.174221,0.173694,0.849020,-0.237553,-0.097511,0.831940,-0.071811,-0.076483,0.822588,-0.194869
26,0.260000,-0.061129,0.827337,-0.325681,-0.193779,0.750299,-0.365080,-0.043726,0.790667,-0.286640,-0.252839,0.756284,-0.133388,-0.374181,0.586959,-0.139610,-0.314123,0.682692,-0.174234,0.173694,0.849020,-0.237553,-0.097566,0.831937,-0.071846,-0.076368,0.822595,-0.194914
27,0.270000,-0.061129,0.827337,-0.325681,-0.193822,0.750287,-0.365051,-0.043599,0.790651,-0.286630,-0.252839,0.756284,-0.133388,-0.374158,0.586949,-0.139650,-0.314162,0.682676,-0.174223,0.173694,0.849020,-0.237553,-0.097504,0.831944,-0.071830,-0.076498,0.822583,-0.194907
28,0.280000,-0.061129,0.827337,-0.325681,-0.193705,0.750322,-0.365090,-0.043721,0.790699,-0.286607,-0.252839,0.756284,-0.133388,-0.374181,0.586959,-0.139610,-0.314207,0.682687,-0.174270,0.173694,0.849020,-0.237553,-0.097526,0.831933,-0.071883,-0.076271,0.822496,-0.194925
29,0.290000,-0.061129,0.827337,-0.325681,-0.193822,0.750287,-0.365051,-0.043671,0.790685,-0.286646,-0.252792,0.756262,-0.133394,-0.374080,0.586909,-0.139654,-0.314222,0.682652,-0.174261,0.173845,0.848972,-0.237580,-0.097566,0.831937,-0.071846,-0.076528,0.822538,-0.194948
30,0.300000,-0.061129,0.827337,-0.325681,-0.193779,0.750299,-0.365080,-0.043593,0.790653,-0.286651,-0.252736,0.756236,-0.133393,-0.374086,0.586919,-0.139629,-0.314248,0.682654,-0.174285,0.173694,0.849020,-0.237553,-0.097526,0.831933,-0.071883,-0.076221,0.822486,-0.194920
31,0.310000,-0.061101,0.827322,-0.325667,-0.193750,0.750282,-0.365070,-0.043733,0.790712,-0.286636,-0.252736,0.756236,-0.133393,-0.374129,0.586931,-0.139603,-0.314278,0.682623,-0.174276,0.173845,0.848972,-0.237580,-0.097559,0.831940,-0.071865,-0.076221,0.822486,-0.194920
32,0.320000,-0.061129,0.827337,-0.325681,-0.193813,0.750265,-0.365078,-0.043721,0.790669,-0.286660,-0.252736,0.756236,-0.133393,-0.374363,0.586932,-0.139577,-0.314193,0.682630,-0.174267,0.173503,0.849007,-0.237533,-0.097526,0.831933,-0.071883,-0.076151,0.822449,-0.194909
33,0.330000,-0.061101,0.827322,-0.325667,-0.193813,0.750265,-0.365078,-0.043671,0.790685,-0.286646,-0.252736,0.756236,-0.133393,-0.374203,0.586907,-0.139622,-0.314210,0.682599,-0.174258,0.173845,0.848972,-0.237580,-0.097566,0.831937,-0.071846,-0.076141,0.822508,-0.194932
34,0.340000,-0.061129,0.827337,-0.325681,-0.193822,0.750287,-0.365051,-0.043721,0.790669,-0.286660,-0.252736,0.756236,-0.133393,-0.374118,0.586891,-0.139607,-0.314262,0.682617,-0.174272,0.173653,0.848960,-0.237560,-0.097559,0.831940,-0.071865,-0.076221,0.822486,-0.194920
